program_name,program_description,day_key,day_short,day_long,day_title,day_kind,day_desc,workout_title,workout_badge,workout_subtitle,warmup,exercise_order,exercise_name,exercise_volume,exercise_rest,exercise_sets,exercise_cue,exercise_note
Backstop Engine — Catcher Power & Durability,"Evidence-informed offseason catcher program. Priorities: squat-to-stand force, short-area acceleration, lateral power, hip internal-rotation/adductor/ankle capacity, trunk control, upper-back strength and throwing durability. Power reps are maximal-quality; strength work normally stops with 1–2 reps in reserve.",mon,Mon,Monday,Day 1 — Squat-to-Stand Force,Strength,"Build the lower-body force and tissue capacity needed to live low, rise fast and repeat the position without turning the session into knee-fatigue conditioning.",Catcher Lower Force,FORCE,65–80 min,true,1,Countermovement Jump,4 × 3,90 sec,4,"Dip quickly, keep the whole foot connected, then jump as high as possible.",Do this fresh. Stop if jump height or landing quality clearly drops.
Backstop Engine — Catcher Power & Durability,"Evidence-informed offseason catcher program. Priorities: squat-to-stand force, short-area acceleration, lateral power, hip internal-rotation/adductor/ankle capacity, trunk control, upper-back strength and throwing durability. Power reps are maximal-quality; strength work normally stops with 1–2 reps in reserve.",mon,Mon,Monday,Day 1 — Squat-to-Stand Force,Strength,"Build the lower-body force and tissue capacity needed to live low, rise fast and repeat the position without turning the session into knee-fatigue conditioning.",Catcher Lower Force,FORCE,65–80 min,true,2,Trap-Bar Deadlift,4 × 4,3 min,4,"Brace 360°, push the floor away and finish tall without leaning back.",Use a load you could do for ~6 reps; no grinders. Leg press is the machine substitute if needed.
Backstop Engine — Catcher Power & Durability,"Evidence-informed offseason catcher program. Priorities: squat-to-stand force, short-area acceleration, lateral power, hip internal-rotation/adductor/ankle capacity, trunk control, upper-back strength and throwing durability. Power reps are maximal-quality; strength work normally stops with 1–2 reps in reserve.",mon,Mon,Monday,Day 1 — Squat-to-Stand Force,Strength,"Build the lower-body force and tissue capacity needed to live low, rise fast and repeat the position without turning the session into knee-fatigue conditioning.",Catcher Lower Force,FORCE,65–80 min,true,3,Rear-Foot-Elevated Split Squat,3 × 6 / side,2 min,3,Keep the front foot rooted; lower the back knee down and drive up through the floor.,Control the bottom for 1 second. Dumbbells are fine.
Backstop Engine — Catcher Power & Durability,"Evidence-informed offseason catcher program. Priorities: squat-to-stand force, short-area acceleration, lateral power, hip internal-rotation/adductor/ankle capacity, trunk control, upper-back strength and throwing durability. Power reps are maximal-quality; strength work normally stops with 1–2 reps in reserve.",mon,Mon,Monday,Day 1 — Squat-to-Stand Force,Strength,"Build the lower-body force and tissue capacity needed to live low, rise fast and repeat the position without turning the session into knee-fatigue conditioning.",Catcher Lower Force,FORCE,65–80 min,true,4,Wide-Stance Goblet Squat,3 × 8,90 sec,3,Sit between the hips with knees tracking over the toes and ribs stacked.,Use a catcher-relevant stance width but never force hip pinch.
Backstop Engine — Catcher Power & Durability,"Evidence-informed offseason catcher program. Priorities: squat-to-stand force, short-area acceleration, lateral power, hip internal-rotation/adductor/ankle capacity, trunk control, upper-back strength and throwing durability. Power reps are maximal-quality; strength work normally stops with 1–2 reps in reserve.",mon,Mon,Monday,Day 1 — Squat-to-Stand Force,Strength,"Build the lower-body force and tissue capacity needed to live low, rise fast and repeat the position without turning the session into knee-fatigue conditioning.",Catcher Lower Force,FORCE,65–80 min,true,5,Copenhagen Plank,3 × 20–30 sec / side,60 sec,3,Keep the pelvis high and body straight; squeeze the top-leg adductors.,Start short-lever and progress only when groin tolerance is good.
Backstop Engine — Catcher Power & Durability,"Evidence-informed offseason catcher program. Priorities: squat-to-stand force, short-area acceleration, lateral power, hip internal-rotation/adductor/ankle capacity, trunk control, upper-back strength and throwing durability. Power reps are maximal-quality; strength work normally stops with 1–2 reps in reserve.",mon,Mon,Monday,Day 1 — Squat-to-Stand Force,Strength,"Build the lower-body force and tissue capacity needed to live low, rise fast and repeat the position without turning the session into knee-fatigue conditioning.",Catcher Lower Force,FORCE,65–80 min,true,6,Bent-Knee Soleus Raise,3 × 12–15,60 sec,3,"Keep the knee bent, drive through the ball of the foot and pause at the top.",Useful ankle/calf capacity for repeated low positions and first steps.
Backstop Engine — Catcher Power & Durability,"Evidence-informed offseason catcher program. Priorities: squat-to-stand force, short-area acceleration, lateral power, hip internal-rotation/adductor/ankle capacity, trunk control, upper-back strength and throwing durability. Power reps are maximal-quality; strength work normally stops with 1–2 reps in reserve.",tue,Tue,Tuesday,Day 2 — Throwing Support + Upper Strength,Strength,Build force around the shoulder blade and trunk while keeping pressing volume sensible for a high-throw position.,Catcher Upper / Arm,THROW,60–75 min,true,1,Medicine-Ball Shot-Put From Athletic Stance,4 × 4 / side,75 sec,4,"Drive from the floor, rotate the trunk and punch the ball through the wall fast.","Light ball, maximum intent; this is power, not conditioning."
Backstop Engine — Catcher Power & Durability,"Evidence-informed offseason catcher program. Priorities: squat-to-stand force, short-area acceleration, lateral power, hip internal-rotation/adductor/ankle capacity, trunk control, upper-back strength and throwing durability. Power reps are maximal-quality; strength work normally stops with 1–2 reps in reserve.",tue,Tue,Tuesday,Day 2 — Throwing Support + Upper Strength,Strength,Build force around the shoulder blade and trunk while keeping pressing volume sensible for a high-throw position.,Catcher Upper / Arm,THROW,60–75 min,true,2,Half-Kneeling Landmine Press,3 × 6 / side,2 min,3,Squeeze the down-side glute and reach up-forward without flaring the ribs.,Use a smooth shoulder-friendly path.
Backstop Engine — Catcher Power & Durability,"Evidence-informed offseason catcher program. Priorities: squat-to-stand force, short-area acceleration, lateral power, hip internal-rotation/adductor/ankle capacity, trunk control, upper-back strength and throwing durability. Power reps are maximal-quality; strength work normally stops with 1–2 reps in reserve.",tue,Tue,Tuesday,Day 2 — Throwing Support + Upper Strength,Strength,Build force around the shoulder blade and trunk while keeping pressing volume sensible for a high-throw position.,Catcher Upper / Arm,THROW,60–75 min,true,3,Chest-Supported Row,4 × 8,90 sec,4,"Reach long, then pull elbows toward the back pockets without shrugging.",Prioritize upper-back strength and scapular control.
Backstop Engine — Catcher Power & Durability,"Evidence-informed offseason catcher program. Priorities: squat-to-stand force, short-area acceleration, lateral power, hip internal-rotation/adductor/ankle capacity, trunk control, upper-back strength and throwing durability. Power reps are maximal-quality; strength work normally stops with 1–2 reps in reserve.",tue,Tue,Tuesday,Day 2 — Throwing Support + Upper Strength,Strength,Build force around the shoulder blade and trunk while keeping pressing volume sensible for a high-throw position.,Catcher Upper / Arm,THROW,60–75 min,true,4,Neutral-Grip Lat Pulldown or Pull-Up,3 × 6–10,90 sec,3,"Start by pulling the shoulder blades down, then drive elbows toward the ribs.",Choose the version that keeps the neck relaxed.
Backstop Engine — Catcher Power & Durability,"Evidence-informed offseason catcher program. Priorities: squat-to-stand force, short-area acceleration, lateral power, hip internal-rotation/adductor/ankle capacity, trunk control, upper-back strength and throwing durability. Power reps are maximal-quality; strength work normally stops with 1–2 reps in reserve.",tue,Tue,Tuesday,Day 2 — Throwing Support + Upper Strength,Strength,Build force around the shoulder blade and trunk while keeping pressing volume sensible for a high-throw position.,Catcher Upper / Arm,THROW,60–75 min,true,5,Push-Up Plus,3 × 10–15,75 sec,3,Keep a rigid trunk and finish each rep by reaching the floor away.,The final reach is the point; do not shrug into the ears.
Backstop Engine — Catcher Power & Durability,"Evidence-informed offseason catcher program. Priorities: squat-to-stand force, short-area acceleration, lateral power, hip internal-rotation/adductor/ankle capacity, trunk control, upper-back strength and throwing durability. Power reps are maximal-quality; strength work normally stops with 1–2 reps in reserve.",tue,Tue,Tuesday,Day 2 — Throwing Support + Upper Strength,Strength,Build force around the shoulder blade and trunk while keeping pressing volume sensible for a high-throw position.,Catcher Upper / Arm,THROW,60–75 min,true,6,Cable External Rotation at 90°,2 × 12 / side,60 sec,2,"Keep the upper arm level and rotate from the shoulder, not the wrist.","Light, controlled arm-care work. Never chase fatigue."
Backstop Engine — Catcher Power & Durability,"Evidence-informed offseason catcher program. Priorities: squat-to-stand force, short-area acceleration, lateral power, hip internal-rotation/adductor/ankle capacity, trunk control, upper-back strength and throwing durability. Power reps are maximal-quality; strength work normally stops with 1–2 reps in reserve.",tue,Tue,Tuesday,Day 2 — Throwing Support + Upper Strength,Strength,Build force around the shoulder blade and trunk while keeping pressing volume sensible for a high-throw position.,Catcher Upper / Arm,THROW,60–75 min,true,7,Suitcase Carry,3 × 25–35 m / side,60 sec,3,Walk tall and resist leaning toward or away from the load.,Ribs stacked over pelvis; controlled steps.
Backstop Engine — Catcher Power & Durability,"Evidence-informed offseason catcher program. Priorities: squat-to-stand force, short-area acceleration, lateral power, hip internal-rotation/adductor/ankle capacity, trunk control, upper-back strength and throwing durability. Power reps are maximal-quality; strength work normally stops with 1–2 reps in reserve.",wed,Wed,Wednesday,"Recovery — Catcher Hips, Ankles & T-Spine",Recover,Restore the ranges needed for low receiving and throwing positions without adding meaningful fatigue.,Catcher Reset,RECOVER,25–35 min,false,1,90/90 Hip Internal-Rotation Lift-Off or Switch,2 × 6–8 / side,30 sec,2,Stay tall and rotate through the hips under control.,Prioritize clean hip rotation rather than forcing depth.
Backstop Engine — Catcher Power & Durability,"Evidence-informed offseason catcher program. Priorities: squat-to-stand force, short-area acceleration, lateral power, hip internal-rotation/adductor/ankle capacity, trunk control, upper-back strength and throwing durability. Power reps are maximal-quality; strength work normally stops with 1–2 reps in reserve.",wed,Wed,Wednesday,"Recovery — Catcher Hips, Ankles & T-Spine",Recover,Restore the ranges needed for low receiving and throwing positions without adding meaningful fatigue.,Catcher Reset,RECOVER,25–35 min,false,2,Adductor Rock-Back,2 × 10 / side,30 sec,2,Keep a neutral spine and sit the hips back until the inner thigh loads gently.,No bouncing or pinching.
Backstop Engine — Catcher Power & Durability,"Evidence-informed offseason catcher program. Priorities: squat-to-stand force, short-area acceleration, lateral power, hip internal-rotation/adductor/ankle capacity, trunk control, upper-back strength and throwing durability. Power reps are maximal-quality; strength work normally stops with 1–2 reps in reserve.",wed,Wed,Wednesday,"Recovery — Catcher Hips, Ankles & T-Spine",Recover,Restore the ranges needed for low receiving and throwing positions without adding meaningful fatigue.,Catcher Reset,RECOVER,25–35 min,false,3,Knee-to-Wall Ankle Mobilization,2 × 10 / side,30 sec,2,Drive the knee over the middle toes while the heel stays down.,Smooth reps; keep the arch controlled.
Backstop Engine — Catcher Power & Durability,"Evidence-informed offseason catcher program. Priorities: squat-to-stand force, short-area acceleration, lateral power, hip internal-rotation/adductor/ankle capacity, trunk control, upper-back strength and throwing durability. Power reps are maximal-quality; strength work normally stops with 1–2 reps in reserve.",wed,Wed,Wednesday,"Recovery — Catcher Hips, Ankles & T-Spine",Recover,Restore the ranges needed for low receiving and throwing positions without adding meaningful fatigue.,Catcher Reset,RECOVER,25–35 min,false,4,Open-Book T-Spine Rotation,2 × 8 / side,30 sec,2,Keep the knees stacked and rotate through the upper back.,Exhale into the end range.
Backstop Engine — Catcher Power & Durability,"Evidence-informed offseason catcher program. Priorities: squat-to-stand force, short-area acceleration, lateral power, hip internal-rotation/adductor/ankle capacity, trunk control, upper-back strength and throwing durability. Power reps are maximal-quality; strength work normally stops with 1–2 reps in reserve.",wed,Wed,Wednesday,"Recovery — Catcher Hips, Ankles & T-Spine",Recover,Restore the ranges needed for low receiving and throwing positions without adding meaningful fatigue.,Catcher Reset,RECOVER,25–35 min,false,5,Easy Bike or Brisk Walk,20–25 min easy,—,1,Keep breathing conversational and shoulders relaxed.,Recovery pace only.
Backstop Engine — Catcher Power & Durability,"Evidence-informed offseason catcher program. Priorities: squat-to-stand force, short-area acceleration, lateral power, hip internal-rotation/adductor/ankle capacity, trunk control, upper-back strength and throwing durability. Power reps are maximal-quality; strength work normally stops with 1–2 reps in reserve.",thu,Thu,Thursday,Day 3 — Pop Power + Short-Area Speed,Power,"Train the explosive transition from a low position, lateral force and the first 5–10 yards that matter most behind the plate.",Pop / First-Step Power,POWER,50–65 min,true,1,Broad Jump to Stick,4 × 3,90 sec,4,"Project forward hard, land softly and own the landing before resetting.",Full reset between reps.
Backstop Engine — Catcher Power & Durability,"Evidence-informed offseason catcher program. Priorities: squat-to-stand force, short-area acceleration, lateral power, hip internal-rotation/adductor/ankle capacity, trunk control, upper-back strength and throwing durability. Power reps are maximal-quality; strength work normally stops with 1–2 reps in reserve.",thu,Thu,Thursday,Day 3 — Pop Power + Short-Area Speed,Power,"Train the explosive transition from a low position, lateral force and the first 5–10 yards that matter most behind the plate.",Pop / First-Step Power,POWER,50–65 min,true,2,Lateral Bound to Stick,4 × 3 / side,90 sec,4,Push the ground away laterally and stabilize the landing for 1–2 seconds.,Do not let the knee collapse inward.
Backstop Engine — Catcher Power & Durability,"Evidence-informed offseason catcher program. Priorities: squat-to-stand force, short-area acceleration, lateral power, hip internal-rotation/adductor/ankle capacity, trunk control, upper-back strength and throwing durability. Power reps are maximal-quality; strength work normally stops with 1–2 reps in reserve.",thu,Thu,Thursday,Day 3 — Pop Power + Short-Area Speed,Power,"Train the explosive transition from a low position, lateral force and the first 5–10 yards that matter most behind the plate.",Pop / First-Step Power,POWER,50–65 min,true,3,Medicine-Ball Rotational Scoop Toss,4 × 4 / side,75 sec,4,"Load the back hip, start rotation from the floor and pelvis, then whip the trunk and arms.",Use a ball light enough to move fast.
Backstop Engine — Catcher Power & Durability,"Evidence-informed offseason catcher program. Priorities: squat-to-stand force, short-area acceleration, lateral power, hip internal-rotation/adductor/ankle capacity, trunk control, upper-back strength and throwing durability. Power reps are maximal-quality; strength work normally stops with 1–2 reps in reserve.",thu,Thu,Thursday,Day 3 — Pop Power + Short-Area Speed,Power,"Train the explosive transition from a low position, lateral force and the first 5–10 yards that matter most behind the plate.",Pop / First-Step Power,POWER,50–65 min,true,4,Catcher-Stance 5-Yard Burst,6 × 5 yd,60–75 sec,6,"Start low, create a violent first push and rise only as speed builds.",Quality first. This is not repeated conditioning.
Backstop Engine — Catcher Power & Durability,"Evidence-informed offseason catcher program. Priorities: squat-to-stand force, short-area acceleration, lateral power, hip internal-rotation/adductor/ankle capacity, trunk control, upper-back strength and throwing durability. Power reps are maximal-quality; strength work normally stops with 1–2 reps in reserve.",thu,Thu,Thursday,Day 3 — Pop Power + Short-Area Speed,Power,"Train the explosive transition from a low position, lateral force and the first 5–10 yards that matter most behind the plate.",Pop / First-Step Power,POWER,50–65 min,true,5,Lateral Shuffle to 5-Yard Burst,4 × 2 / side,75 sec,4,"Stay athletic through the shuffle, plant under the hip and explode out.",Keep the feet underneath you; avoid reaching on the plant.
Backstop Engine — Catcher Power & Durability,"Evidence-informed offseason catcher program. Priorities: squat-to-stand force, short-area acceleration, lateral power, hip internal-rotation/adductor/ankle capacity, trunk control, upper-back strength and throwing durability. Power reps are maximal-quality; strength work normally stops with 1–2 reps in reserve.",thu,Thu,Thursday,Day 3 — Pop Power + Short-Area Speed,Power,"Train the explosive transition from a low position, lateral force and the first 5–10 yards that matter most behind the plate.",Pop / First-Step Power,POWER,50–65 min,true,6,Pogo Jump,3 × 15–20 contacts,60 sec,3,Stay tall and spring quickly from the ankles with short ground contacts.,Small amplitude and elastic contacts.
Backstop Engine — Catcher Power & Durability,"Evidence-informed offseason catcher program. Priorities: squat-to-stand force, short-area acceleration, lateral power, hip internal-rotation/adductor/ankle capacity, trunk control, upper-back strength and throwing durability. Power reps are maximal-quality; strength work normally stops with 1–2 reps in reserve.",fri,Fri,Friday,Day 4 — Total-Body Catcher Strength,Strength,"Reinforce bilateral and unilateral strength, posterior-chain capacity and trunk stiffness without duplicating Monday.",Catcher Total Body,BUILD,65–80 min,true,1,Front Squat or Hack Squat,4 × 4–6,2–3 min,4,"Brace before descending, sit between the hips and drive evenly through both feet.",Choose the version that lets you train hard without joint irritation.
Backstop Engine — Catcher Power & Durability,"Evidence-informed offseason catcher program. Priorities: squat-to-stand force, short-area acceleration, lateral power, hip internal-rotation/adductor/ankle capacity, trunk control, upper-back strength and throwing durability. Power reps are maximal-quality; strength work normally stops with 1–2 reps in reserve.",fri,Fri,Friday,Day 4 — Total-Body Catcher Strength,Strength,"Reinforce bilateral and unilateral strength, posterior-chain capacity and trunk stiffness without duplicating Monday.",Catcher Total Body,BUILD,65–80 min,true,2,Romanian Deadlift,3 × 6–8,2 min,3,Push the hips back with soft knees and keep the load close to the legs.,Stop where the hamstrings are loaded and the spine stays neutral.
Backstop Engine — Catcher Power & Durability,"Evidence-informed offseason catcher program. Priorities: squat-to-stand force, short-area acceleration, lateral power, hip internal-rotation/adductor/ankle capacity, trunk control, upper-back strength and throwing durability. Power reps are maximal-quality; strength work normally stops with 1–2 reps in reserve.",fri,Fri,Friday,Day 4 — Total-Body Catcher Strength,Strength,"Reinforce bilateral and unilateral strength, posterior-chain capacity and trunk stiffness without duplicating Monday.",Catcher Total Body,BUILD,65–80 min,true,3,One-Arm Cable Row,3 × 8 / side,75 sec,3,"Reach long, then row without rotating the pelvis.",Let the shoulder blade move naturally.
Backstop Engine — Catcher Power & Durability,"Evidence-informed offseason catcher program. Priorities: squat-to-stand force, short-area acceleration, lateral power, hip internal-rotation/adductor/ankle capacity, trunk control, upper-back strength and throwing durability. Power reps are maximal-quality; strength work normally stops with 1–2 reps in reserve.",fri,Fri,Friday,Day 4 — Total-Body Catcher Strength,Strength,"Reinforce bilateral and unilateral strength, posterior-chain capacity and trunk stiffness without duplicating Monday.",Catcher Total Body,BUILD,65–80 min,true,4,Incline Dumbbell Press,3 × 8,90 sec,3,Keep the ribs controlled and press through a comfortable path.,Neutral grip if preferred; leave 1–2 reps in reserve.
Backstop Engine — Catcher Power & Durability,"Evidence-informed offseason catcher program. Priorities: squat-to-stand force, short-area acceleration, lateral power, hip internal-rotation/adductor/ankle capacity, trunk control, upper-back strength and throwing durability. Power reps are maximal-quality; strength work normally stops with 1–2 reps in reserve.",fri,Fri,Friday,Day 4 — Total-Body Catcher Strength,Strength,"Reinforce bilateral and unilateral strength, posterior-chain capacity and trunk stiffness without duplicating Monday.",Catcher Total Body,BUILD,65–80 min,true,5,Lateral Lunge,3 × 8 / side,90 sec,3,Sit into the working hip while keeping the planted foot fully connected.,Build usable frontal-plane strength for blocks and lateral movement.
Backstop Engine — Catcher Power & Durability,"Evidence-informed offseason catcher program. Priorities: squat-to-stand force, short-area acceleration, lateral power, hip internal-rotation/adductor/ankle capacity, trunk control, upper-back strength and throwing durability. Power reps are maximal-quality; strength work normally stops with 1–2 reps in reserve.",fri,Fri,Friday,Day 4 — Total-Body Catcher Strength,Strength,"Reinforce bilateral and unilateral strength, posterior-chain capacity and trunk stiffness without duplicating Monday.",Catcher Total Body,BUILD,65–80 min,true,6,Split-Squat Isometric Hold,2 × 30–40 sec / side,60 sec,2,Hold mid-range with the front foot flat and pelvis square.,Strong positional capacity without excessive joint motion.
Backstop Engine — Catcher Power & Durability,"Evidence-informed offseason catcher program. Priorities: squat-to-stand force, short-area acceleration, lateral power, hip internal-rotation/adductor/ankle capacity, trunk control, upper-back strength and throwing durability. Power reps are maximal-quality; strength work normally stops with 1–2 reps in reserve.",fri,Fri,Friday,Day 4 — Total-Body Catcher Strength,Strength,"Reinforce bilateral and unilateral strength, posterior-chain capacity and trunk stiffness without duplicating Monday.",Catcher Total Body,BUILD,65–80 min,true,7,Pallof Press,3 × 8–10 / side,60 sec,3,"Exhale, lock ribs over pelvis and resist the cable trying to rotate you.",Pause briefly at full reach.
Backstop Engine — Catcher Power & Durability,"Evidence-informed offseason catcher program. Priorities: squat-to-stand force, short-area acceleration, lateral power, hip internal-rotation/adductor/ankle capacity, trunk control, upper-back strength and throwing durability. Power reps are maximal-quality; strength work normally stops with 1–2 reps in reserve.",sat,Sat,Saturday,Optional — Catching Skill + Aerobic Base,Recover,Low-fatigue movement and position skill. Keep throwing volume coordinated with the baseball plan rather than adding random extra throws.,Skill / Aerobic,EASY,25–40 min,false,1,"Bike, Incline Walk or Easy Jog",25–35 min Zone 2,—,1,Use a pace where conversation stays comfortable.,"If legs are heavy, choose bike or incline walking."
Backstop Engine — Catcher Power & Durability,"Evidence-informed offseason catcher program. Priorities: squat-to-stand force, short-area acceleration, lateral power, hip internal-rotation/adductor/ankle capacity, trunk control, upper-back strength and throwing durability. Power reps are maximal-quality; strength work normally stops with 1–2 reps in reserve.",sat,Sat,Saturday,Optional — Catching Skill + Aerobic Base,Recover,Low-fatigue movement and position skill. Keep throwing volume coordinated with the baseball plan rather than adding random extra throws.,Skill / Aerobic,EASY,25–40 min,false,2,Deep Squat Breathing Hold,2 × 5 breaths,45 sec,2,Use support if needed and breathe into the back and sides of the ribcage.,Comfortable range only; this is not a max-depth test.
Backstop Engine — Catcher Power & Durability,"Evidence-informed offseason catcher program. Priorities: squat-to-stand force, short-area acceleration, lateral power, hip internal-rotation/adductor/ankle capacity, trunk control, upper-back strength and throwing durability. Power reps are maximal-quality; strength work normally stops with 1–2 reps in reserve.",sun,Sun,Sunday,Rest,Rest,Full rest. Normal walking is fine.,,,,,,,,,,,
Dirt Range — Infielder First-Step & Throwing Power,"Evidence-informed offseason infielder program. Priorities: 0–10 yd acceleration, lateral/crossover first-step speed, braking and re-acceleration, unilateral and frontal-plane strength, rotational power, upper-back strength and throwing-arm durability. Speed and power stay low-volume and high-quality.",mon,Mon,Monday,Day 1 — First-Step Acceleration + Lower Force,Strength,Build the short-distance force qualities used to attack ground balls and close space quickly.,Infielder Accel / Lower,FORCE,65–80 min,true,1,5-Yard Falling Start,4 × 5 yd,60–75 sec,4,"Lean as one unit, punch the ground back and accelerate without popping upright.",Full recovery; every rep fast.
Dirt Range — Infielder First-Step & Throwing Power,"Evidence-informed offseason infielder program. Priorities: 0–10 yd acceleration, lateral/crossover first-step speed, braking and re-acceleration, unilateral and frontal-plane strength, rotational power, upper-back strength and throwing-arm durability. Speed and power stay low-volume and high-quality.",mon,Mon,Monday,Day 1 — First-Step Acceleration + Lower Force,Strength,Build the short-distance force qualities used to attack ground balls and close space quickly.,Infielder Accel / Lower,FORCE,65–80 min,true,2,10-Yard Acceleration,4 × 10 yd,90 sec,4,Push aggressively for the first 3–5 steps and rise gradually.,Do before heavy lifting.
Dirt Range — Infielder First-Step & Throwing Power,"Evidence-informed offseason infielder program. Priorities: 0–10 yd acceleration, lateral/crossover first-step speed, braking and re-acceleration, unilateral and frontal-plane strength, rotational power, upper-back strength and throwing-arm durability. Speed and power stay low-volume and high-quality.",mon,Mon,Monday,Day 1 — First-Step Acceleration + Lower Force,Strength,Build the short-distance force qualities used to attack ground balls and close space quickly.,Infielder Accel / Lower,FORCE,65–80 min,true,3,Trap-Bar Deadlift,4 × 4,3 min,4,"Brace, push the floor away and finish tall with the glutes.",Leave 1–2 reps in reserve; no grinders.
Dirt Range — Infielder First-Step & Throwing Power,"Evidence-informed offseason infielder program. Priorities: 0–10 yd acceleration, lateral/crossover first-step speed, braking and re-acceleration, unilateral and frontal-plane strength, rotational power, upper-back strength and throwing-arm durability. Speed and power stay low-volume and high-quality.",mon,Mon,Monday,Day 1 — First-Step Acceleration + Lower Force,Strength,Build the short-distance force qualities used to attack ground balls and close space quickly.,Infielder Accel / Lower,FORCE,65–80 min,true,4,Rear-Foot-Elevated Split Squat,3 × 6 / side,2 min,3,Root the front foot and drive up without the pelvis shifting.,A slight forward torso lean is fine.
Dirt Range — Infielder First-Step & Throwing Power,"Evidence-informed offseason infielder program. Priorities: 0–10 yd acceleration, lateral/crossover first-step speed, braking and re-acceleration, unilateral and frontal-plane strength, rotational power, upper-back strength and throwing-arm durability. Speed and power stay low-volume and high-quality.",mon,Mon,Monday,Day 1 — First-Step Acceleration + Lower Force,Strength,Build the short-distance force qualities used to attack ground balls and close space quickly.,Infielder Accel / Lower,FORCE,65–80 min,true,5,Lateral Lunge,3 × 6–8 / side,90 sec,3,Sit into the working hip and keep the entire planted foot down.,Train range you can own and reverse from.
Dirt Range — Infielder First-Step & Throwing Power,"Evidence-informed offseason infielder program. Priorities: 0–10 yd acceleration, lateral/crossover first-step speed, braking and re-acceleration, unilateral and frontal-plane strength, rotational power, upper-back strength and throwing-arm durability. Speed and power stay low-volume and high-quality.",mon,Mon,Monday,Day 1 — First-Step Acceleration + Lower Force,Strength,Build the short-distance force qualities used to attack ground balls and close space quickly.,Infielder Accel / Lower,FORCE,65–80 min,true,6,Single-Leg Romanian Deadlift,3 × 8 / side,90 sec,3,"Reach the free leg long, keep hips square and load the standing hamstring.",Balance is secondary to clean hip control.
Dirt Range — Infielder First-Step & Throwing Power,"Evidence-informed offseason infielder program. Priorities: 0–10 yd acceleration, lateral/crossover first-step speed, braking and re-acceleration, unilateral and frontal-plane strength, rotational power, upper-back strength and throwing-arm durability. Speed and power stay low-volume and high-quality.",mon,Mon,Monday,Day 1 — First-Step Acceleration + Lower Force,Strength,Build the short-distance force qualities used to attack ground balls and close space quickly.,Infielder Accel / Lower,FORCE,65–80 min,true,7,Bent-Knee Soleus Raise,3 × 12–15,60 sec,3,Keep the knee bent and pause at the top.,Build lower-leg stiffness for first-step acceleration and deceleration.
Dirt Range — Infielder First-Step & Throwing Power,"Evidence-informed offseason infielder program. Priorities: 0–10 yd acceleration, lateral/crossover first-step speed, braking and re-acceleration, unilateral and frontal-plane strength, rotational power, upper-back strength and throwing-arm durability. Speed and power stay low-volume and high-quality.",tue,Tue,Tuesday,Day 2 — Rotation + High-Throw Support,Strength,Develop rotational power and scapular/upper-back strength without burying the throwing arm.,Infielder Upper / Throw,THROW,60–75 min,true,1,Medicine-Ball Step-Behind Rotational Throw,4 × 4 / side,75 sec,4,"Use the step to create momentum, plant firmly, then rotate and throw explosively.","Light ball, maximal speed."
